Galium arkansanum	Rubiaceae		Arkansas bedstraw			
Galium asprellum	Rubiaceae	gaillet piquant	rough bedstraw			
Galium bifolium	Rubiaceae		twinleaf bedstraw			
Galium bolanderi	Rubiaceae		Bolander's bedstraw			
Galium boreale	Rubiaceae	Gaillet boréal	northern bedstraw	Nordisches Labkraut		
Galium buxifolium	Rubiaceae		box bedstraw			
Galium catalinense	Rubiaceae		Santa Catalina Island bedstraw			
Galium circaezans	Rubiaceae		licorice bedstraw			wild licorice
Galium clementis	Rubiaceae		Santa Lucia bedstraw			
Galium cliftonsmithii	Rubiaceae		Santa Barbara bedstraw			
Galium collomiae	Rubiaceae		Fossil Hill Creek bedstraw			
Galium coloradoense	Rubiaceae		Colorado bedstraw			
Galium concinnum	Rubiaceae		shining bedstraw			
Galium correllii	Rubiaceae		cliff bedstraw			
Galium debile	Rubiaceae	Gaillet Faible	Slender Marsh-bedstraw			
Galium desereticum	Rubiaceae		desert bedstraw			
Galium divaricatum	Rubiaceae		Lamarck's bedstraw			
Galium elongatum	Rubiaceae			Hohes Labkraut		Hohes Sumpf-Labkraut
Galium emeryense	Rubiaceae		Emery County bedstraw			
Galium fendleri	Rubiaceae		Fendler's bedstraw			
Galium glabrescens	Rubiaceae		Castle Lake bedstraw			
Galium glaucum	Rubiaceae	gaillet glauque	waxy bedstraw	Blaugrünes Labkraut		
Galium grande	Rubiaceae		San Gabriel bedstraw			
Galium grayanum	Rubiaceae		Gray's bedstraw			
Galium hallii	Rubiaceae		Hall's bedstraw			
Galium hardhamiae	Rubiaceae		Hardham's bedstraw			
Galium hilendiae	Rubiaceae		Hilend's bedstraw			
Galium humifusum	Rubiaceae		spreading bedstraw			
Galium hypotrichium	Rubiaceae		alpine bedstraw			
Galium intermedium	Rubiaceae			Glattes Labkraut		
Galium jepsonii	Rubiaceae		Jepson's bedstraw			
Galium johnstonii	Rubiaceae		Johnston's bedstraw			
Galium kamtschaticum	Rubiaceae		boreal bedstraw			
Galium labradoricum	Rubiaceae	gaillet du Labrador	Bog bedstraw			northern bog bedstraw~Labrador bedstraw
Galium lanceolatum	Rubiaceae		wild licorice			lanceleaf wild licorice
Galium latifolium	Rubiaceae		purple bedstraw			
Galium lucidum	Rubiaceae			Glänzendes Wiesen-Labkraut		Glanz-Labkraut
Galium magnifolium	Rubiaceae		largeleaf bedstraw			
Galium maritimum	Rubiaceae	Gaillet maritime				
Galium matthewsii	Rubiaceae		bushy bedstraw			
Galium maximowiczii	Rubiaceae		Maximowicz's woodruff			
Galium megalospermum	Rubiaceae			Schweizer Labkraut		
Galium mexicanum	Rubiaceae		Mexican bedstraw			
Galium microphyllum	Rubiaceae		bracted bedstraw			
Galium minutulum	Rubiaceae	Gaillet minuscule				Gaillet nain~Gaillet très menu
Galium mollugo	Rubiaceae	Caille-lait blanc	false baby's breath	Wiesen-Labkraut	Caglio tirolese	Gaillet mollugine~Gemeines Labkraut~Grasstern~Klein-Wiesen-Labkraut~Kleinblütiges Wiesen-Labkraut~Weisses Waldstroh
Galium multiflorum	Rubiaceae		shrubby bedstraw			
Galium munzii	Rubiaceae		Munz's bedstraw			
Galium murale	Rubiaceae		yellow wall bedstraw			tiny bedstraw
Galium muricatum	Rubiaceae		Humboldt bedstraw			
Galium noricum	Rubiaceae			Norisches Labkraut		
Galium nuttallii	Rubiaceae		climbing bedstraw			
Galium obliquum	Rubiaceae	Gaillet oblique				
Galium obtusum	Rubiaceae		bluntleaf bedstraw			wild madder
Galium odoratum	Rubiaceae	asperula odorata	sweet woodruff	Waldmeister		Aspérule odorante~Belle-étoile~Gaillet odorant~Reine des bois~Herzfreud~Herzfreund
Galium oreganum	Rubiaceae		Oregon bedstraw			
Galium orizabense	Rubiaceae		bald bedstraw			
Galium palaeoitalicum	Rubiaceae				Caglio delle Apuane	
Galium palustre	Rubiaceae	Gaillet des marais	Common Marsh-bedstraw	Sumpf-Labkraut		Gaillet palustre~Echtes Sumpf-Labkraut~Sumpflabkraut~marsh-bedstraw
Galium parishii	Rubiaceae		Parish's bedstraw			
Galium parisiense	Rubiaceae		wall bedstraw	Pariser Labkraut		
Galium pedemontanum	Rubiaceae		BEDSTRAW			
Galium perpusillum	Rubiaceae		Dwarf Bedstraw			
Galium perralderi	Rubiaceae		Galium perralderii (orthographic variant)			
Galium pilosum	Rubiaceae		hairy bedstraw			
Galium porrigens	Rubiaceae		graceful bedstraw			
Galium proliferum	Rubiaceae		limestone bedstraw			
Galium pseudoasprellum	Rubiaceae		four-leaf bedstraw			
Galium pumilum	Rubiaceae	gaillet rude		Triften-Labkraut		Heide-Labkraut~Zierliches Labkraut~Niederes Labkraut
Galium pusillum	Rubiaceae			Zierliches Labkraut		
Galium rivale	Rubiaceae			Bach-Labkraut		
Galium rotundifolium	Rubiaceae	Gaillet à feuilles rondes	round-leaved bedstraw	Rundblatt-Labkraut		Rundblättriges Labkraut~Rundblättriges Laubkraut
Galium rubioides	Rubiaceae		European bedstraw			
Galium saxatile	Rubiaceae	gaillet du harz	heath bedstraw	Harzer Labkraut		Gaillet des rochers~Gaillet du Hartz~Felsen-Labkraut~Harz-Labkraut
Galium schultesii	Rubiaceae		Schultes' bedstraw			
Galium serpenticum	Rubiaceae		Intermountain bedstraw			serpent bedstraw
Galium spurium	Rubiaceae		False Cleavers	Kleinfrüchtiges Kletten-Labkraut		Acker-Labkraut~Grünblüten-Labkraut~Saat-Labkraut~Unechtes Labkraut~Marin County bedstraw~stickwilly
Galium stebbinsii	Rubiaceae		Yolla Bolly bedstraw			
Galium stellatum	Rubiaceae		starry bedstraw			
Galium sterneri	Rubiaceae			Sterners Labkraut		
Galium sudeticum	Rubiaceae			Sudeten-Labkraut		
Galium suecicum	Rubiaceae			Schwedisches Labkraut		
Galium sylvaticum	Rubiaceae	gaillet des bois	Scotch mist	Wald-Labkraut		Waldlabkraut~Gewöhnliches Wald-Labkraut~wood bedstraw
Galium texense	Rubiaceae		Texas bedstraw			
Galium tinctorium	Rubiaceae		Stiff bedstraw			stiff marsh bedstraw~stiff bedstrawq
Galium tomentosum	Rubiaceae		old man's beard			
Galium trachyspermum	Rubiaceae		rough-seed bedstraw			
Galium tricornutum	Rubiaceae	gaillet à trois cornes	corn cleavers	Dreihörniges Labkraut		rough corn bedstraw~rough corn bedstraw, corn cleavers~roughfruit corn bedstraw
Galium trifidum	Rubiaceae		three-petal bedstraw			threepetal bedstraw
Galium triflorum	Rubiaceae		fragrant bedstraw			
Galium truniacum	Rubiaceae			Traunsee-Labkraut		Traunsee-Glanz-Labkraut
Galium uliginosum	Rubiaceae	Gaillet aquatique	fen bedstraw	Moor-Labkraut		gaillet des fanges~Gaillet fangeux~rennet~bedstraw
Galium uncinulatum	Rubiaceae		bristly bedstraw			
Galium uniflorum	Rubiaceae		oneflower bedstraw			
Galium valdepilosum	Rubiaceae			Mährisches Labkraut		
Galium verrucosum	Rubiaceae		warty bedstraw	Anis-Labkraut		
Galium verum	Rubiaceae	Caille-lait jaune	Lady's Bedstraw	Echtes Labkraut	Caglio vero	Gaillet jaune~Gaillet vrai~Gelb-Labkraut~Gelbes Labkraut~Gelbes Waldstroh~Liebfrauenbettstroh
Galium virgatum	Rubiaceae		southwestern bedstraw			
Galium watsonii	Rubiaceae		Watson's bedstraw			
Galium wrightii	Rubiaceae		Wright's bedstraw			
Galium ×centroniae	Rubiaceae		hybrid bedstraw			
Gambelia copeii	Plantaginaceae		Baja California leopard lizard			long-nosed leopard lizard~Cope's leopard lizard
Gambelia juncea	Plantaginaceae		Baja bush snapdragon			Cedros Island Bush Snapdragon
Gambelia sila	Plantaginaceae		Blunt-nosed leopard lizard			San Joaquin Leopard Lizard
Gambelia speciosa	Plantaginaceae		showy greenbright			
Gambelia wislizenii	Plantaginaceae	Crotaphytus wislizenii maculosus	long-nosed leopard lizard			Crotaphytus wislizenii punctatus~Gambelia wislizenii maculosus~Gambelia wislizenii punctata~Gambelia wislizenii wislizenii~longnose leopard lizard
Gambeya albida	Sapotaceae		white star apple			
Gamochaeta americana	Asteraceae		American everlasting			
Gamochaeta antarctica	Asteraceae		Antarctic cudweed			
Gamochaeta coarctata	Asteraceae		gray everlasting			
Gamochaeta falcata	Asteraceae		narrowleaf purple everlasting			
Gamochaeta purpurea	Asteraceae		spoonleaf purple everlasting			purple cudweed~purple everlasting
Gamochaeta simplicicaulis	Asteraceae		simple-stem everlasting			
Gamochaeta ustulata	Asteraceae		featherweed			
Garcinia dulcis	Clusiaceae		Gourka			Maphuut
Garcinia fagraeoides	Clusiaceae				Trai	
Garcinia gerrardii	Clusiaceae		Forest mangosteen			
Garcinia hanburyi	Clusiaceae		Hanbury's garcinia			
Garcinia hessii	Clusiaceae		lemon saptree			
Garcinia humilis	Clusiaceae	Bois-l'onguent	achacha			
Garcinia indica	Clusiaceae		kokum	Indische Gamboge		Indischer Butterbaum
Garcinia kola	Clusiaceae	bitter kola	Bitter kola			Petit kola
Garcinia kydia	Clusiaceae		Cowa Fruit			Cowa Mangosteen
Garcinia livingstonei	Clusiaceae		African Mangosteen			Livingstone's garcinia~Lowveld Mangosteen~imbe~imbetree
Garcinia macrophylla	Clusiaceae	Garcinia macrophylla Mart.	Garcinia macrophylla Mart.	Garcinia macrophylla Mart.	Garcinia macrophylla Mart.	
Garcinia madruno	Clusiaceae		Lemon Drop Mangosteen			
Garcinia mangostana	Clusiaceae	Mangoustanier	mangostan	Mangostane	Mangostano	Mangoustan~Mangoustans~Mangostanfrucht~Mangosteen~Mangostinbaum
Garcinia oblongifolia	Clusiaceae		Lingnan garcinia			
Garcinia pedunculata	Clusiaceae		Amlavetasa			
Garcinia portoricensis	Clusiaceae		palo de cruz			
Garcinia sessilis	Clusiaceae		heilala			seilala
Garcinia subelliptica	Clusiaceae		Common Garcinia			
Garcinia warrenii	Clusiaceae		Native mangosteen			Warren's mangosteen
Garcinia xanthochymus	Clusiaceae		Garcinia xanthochymus ex			
Gardenia brighamii	Rubiaceae		forest gardenia			Hawaiian Gardenia
Gardenia cornuta	Rubiaceae		Tonga gardenia			
Gardenia jasminoides	Rubiaceae		Cape jasmine	Gardenie		
Gardenia mannii	Rubiaceae		Mann's Gardenia			Oahu gardenia
Gardenia nitida	Rubiaceae		Category:Gardenia nitida			
Gardenia ovularis	Rubiaceae		native gardenia			
Gardenia remyi	Rubiaceae		Nanu			Remy's gardenia
Gardenia taitensis	Rubiaceae	Tiaré tahiti	tiaré flower			Fleur de tiaré~Tiaré~Tahitian gardenia
Gardenia thunbergia	Rubiaceae		Thunberg's gardenia			Forest gardenia
Gardenia volkensii	Rubiaceae		common gardenia			
Garnotia cheesemanii	Poaceae		Rarotongan Garnotia Grass			
Garnotia stricta	Poaceae		blue lawngrass			
Garrya buxifolia	Garryaceae		dwarf silktassel			
Garrya congdonii	Garryaceae		chaparral silktassel			
Garrya elliptica	Garryaceae		Coast Silk Tassel			
Garrya fadyenii	Garryaceae			Garrya fadyenii'		
Garrya flavescens	Garryaceae		ashy silktassel			
Garrya fremontii	Garryaceae		bearbrush			
Garrya ovata	Garryaceae		eggleaf silktassel			
Garrya veatchii	Garryaceae		canyon silktassel			
Garrya wrightii	Garryaceae		Wright's silktassel			
Gasteria visserii	Asphodelaceae		Visser’s ox-tongue			
Gastridium phleoides	Poaceae		nit grass			
Gastridium ventricosum	Poaceae		nit-grass			
Gastrochilus calceolaris	Orchidaceae		Orchid			
Gastrochilus formosanum	Orchidaceae		Centipede orchid			
Gastrodia cooperae	Orchidaceae		Cooper's black potato orchid			
Gastrodia crebriflora	Orchidaceae		Dense potato orchid			
Gastrodia cunninghamii	Orchidaceae		black orchid			black potato orchid~hūperei~perei~potato orchid
Gastrodia elata	Orchidaceae		Orchid(orchidaceae)			Tall Gastrodia
Gastrodia entomogama	Orchidaceae		Brindabella potato orchid			
Gastrodia minor	Orchidaceae		Small potato orchid			
Gastrodia procera	Orchidaceae		Tall potato orchid			
Gastrodia queenslandica	Orchidaceae		Rainforest bells			
Gastrodia sesamoides	Orchidaceae		Potato orchid			
Gastrodia urceolata	Orchidaceae		White potato orchid			
Gastrodia vescula	Orchidaceae		Small potato orchid			
Gastrolobium bilobum	Fabaceae		heart-leaved poison			
Gastrolobium calycinum	Fabaceae		York Road poison			
Gastrolobium grandiflorum	Fabaceae		heart-leaf poison bush			wallflower poison
Gastrolobium leakeanum	Fabaceae		mountain pea			
Gastrolobium lehmannii	Fabaceae		Cranbrook Pea			
Gastrolobium propinquum	Fabaceae		Hutt River poison			
Gastrolobium spinosum	Fabaceae		Prickly Poison			
Gastrolobium stenophyllum	Fabaceae		narrow-leaved poison			
Gastrolobium trilobum	Fabaceae		bullock poison			
Gastrolobium villosum	Fabaceae		crinkle leaved poison			crinkle-leaf poison
Gaudinia fragilis	Poaceae		fragile oat	Zerbrechlicher Ährenhafer		
Gaultheria amoena × vaccinioides	Ericaceae	Gaultheria amoena x vaccinioides	Gaultheria amoena x vaccinioides		Gaultheria amoena x vaccinioides	
Gaultheria erecta × reticulata	Ericaceae		Gaultheria erecta x reticulata		Gaultheria erecta x reticulata	
Gaultheria hispidula	Ericaceae		creeping snowberry			
Gaultheria humifusa	Ericaceae	gaulthérie alpestre	alpine spicy wintergreen			alpine spicywintergreen~alpine wintergreen~matted wintergreen~western wintergreen
Gaultheria lanigera × glomerata	Ericaceae		Gaultheria lanigera x glomerata		Gaultheria lanigera x glomerata	
Gaultheria miqueliana	Ericaceae		Miquel's spicywintergreen			
Gaultheria mucronata	Ericaceae	Gaulthérie mucronée				
Gaultheria nummularioides	Ericaceae		Coinwort Snowberry			
Gaultheria ovatifolia	Ericaceae		western teaberry			
Gaultheria phillyreifolia	Ericaceae		chaura			
Gaultheria procumbens	Ericaceae	Gaulthérie couchée	wintergreen	Niedere Scheinbeere		eastern teaberry
Gaultheria pumila	Ericaceae				Pernettya pumila	
Gaultheria shallon	Ericaceae		salal	Shallon-Scheinbeere		shallon
Gaultheria trichophylla	Ericaceae		Himalayan snowberry			
Gaussia attenuata	Arecaceae		llume			Llume palm~Puerto Rican gaussia palm
Gaussia maya	Arecaceae		Maya palm			
Gaussia princeps	Arecaceae		Llume palm			Sierra palm
Gaylussacia baccata	Ericaceae		black huckleberry			
Gaylussacia brachycera	Ericaceae		box huckleberry			
Gaylussacia dumosa	Ericaceae		dwarf huckleberry			
Gaylussacia frondosa	Ericaceae		dangleberry			blue huckleberry
Gaylussacia mosieri	Ericaceae		woolly huckleberry			
Gaylussacia nana	Ericaceae		Confederate huckleberry			
Gaylussacia tomentosa	Ericaceae		hairytwig huckleberry			
Gaylussacia ursina	Ericaceae		bear huckleberry			
Gazania linearis	Asteraceae		treasureflower			
Gazania rigens	Asteraceae		treasure-flower			treasure flower
Geissoloma marginatum	Geissolomataceae		'Geissoloma marginata'			
Geissorhiza aspera	Iridaceae		blue satin flower			
Geissorhiza lewisiae	Iridaceae		Lime Satin			
Geissorhiza mathewsii	Iridaceae		Wine Cup			
Geissospermum laeve	Apocynaceae			Geissospermum laeve (Vell.) Miers		
Gelidium amansii	Gelidiaceae			Tengusa		
Gelrebia bracteata	Fabaceae		Gariep Plume-flower			
Gelrebia rostrata	Fabaceae		Beaked Plumeflower			
Gelrebia rubra	Fabaceae		Red plumeflower			
Gelsemium rankinii	Gelsemiaceae		Rankin's trumpetflower			swamp jessamine
Gelsemium sempervirens	Gelsemiaceae		evening trumpetflower	Carolina-Jasmin		false jessamine~yellow jessamine~Carolina jasmine
Geniostoma borbonicum	Loganiaceae	bois de piment				
Genista aetnensis	Fabaceae		Mt. Etna broom	Ätna-Ginster		
Genista anglica	Fabaceae	Genêt d'Angleterre	petty whin	Englischer Ginster		genêt dangleterre
Genista angustifolia	Fabaceae		Narrow-leaved Genista			
Genista canariensis	Fabaceae		Canary broom			
Genista cilentina	Fabaceae		Cilento broom		Ginestra del Cilento	
Genista cinerea	Fabaceae	Genêt cendré				
Genista corsica	Fabaceae	genêt de Corse				
Genista germanica	Fabaceae	genêt d'Allemagne	German greenweed	Deutscher Ginster		
Genista hispanica	Fabaceae	Genet d'Espagne				Petit genet d'Espagne
Genista linifolia	Fabaceae		Mediterranean broom			
Genista maderensis	Fabaceae		Madeira Dyer's greenweed			
Genista monspessulana	Fabaceae	Genêt de Montpellier	Montpellier Broom			
Genista pilosa	Fabaceae	Genêt poilu	hairy greenweed	Behaarter Ginster		genêt velu~Haar-Ginster~Heide-Ginster~Sand-Ginster
Genista radiata	Fabaceae	Genêt à rameaux rayonnants		Kugel-Ginster		Genêt radié
Genista sagittalis	Fabaceae			Flügel-Ginster		
Genista salzmannii	Fabaceae			Salzmanns Ginster		
Genista scorpius	Fabaceae	genêt épineux				Genêt scorpion
Genista stenopetala	Fabaceae		leafy broom			
Genista tenera	Fabaceae		Madeira Broom			
Genista tinctoria	Fabaceae	Genêt des teinturiers	Dyer's Greenweed	Färber-Ginster		Färberginster
Gentiana acaulis	Gentianaceae	Gentiane acaule	gentian	Kochscher Enzian	Genzianella	Gentiane de Koch~Kiesel-Glocken-Enzian~Kochs Enzian~Silikat-Glocken-Enzian~Stemless Gentian~Trumpet Gentian
Gentiana affinis	Gentianaceae		pleated gentian			
Gentiana alba	Gentianaceae		plain gentian			
Gentiana algida	Gentianaceae		whitish gentian			
Gentiana alpina	Gentianaceae	Gentiane des Alpes		Alpen-Enzian		
Gentiana andrewsii	Gentianaceae		bottle gentian			closed bottle gentian
Gentiana asclepiadea	Gentianaceae	Gentiane Asclépiade	The Willow Gentian	Schwalbenwurz-Enzian		Blaue Kreuzwurz~Geißleiter~Herbst-Enzian~Hirschbrunft-Enzian~willow gentian
Gentiana austromontana	Gentianaceae		Appalachian gentian			
Gentiana autumnalis	Gentianaceae		pine barren gentian			
Gentiana bavarica	Gentianaceae	Gentiane de Bavière		Bayerischer Enzian		
Gentiana brachyphylla	Gentianaceae	Gentiane à feuilles courtes		Kurzblatt-Enzian		
Gentiana burseri	Gentianaceae	Gentiane de Burser				
Gentiana calycosa	Gentianaceae		Bog Gentian			Explorer's Gentian~Rainier pleated gentian
Gentiana catesbaei	Gentianaceae		Elliott's gentian			
Gentiana clausa	Gentianaceae		bottle gentian			
Gentiana clusii	Gentianaceae	Gentiane de Clusius		Clusius-Enzian		Echter Alpenenzian~Kalk-Glocken-Enzian
Gentiana cruciata	Gentianaceae	Gentiane croisette	Cross gentian	Kreuz-Enzian		
Gentiana decora	Gentianaceae		showy gentian			
Gentiana dinarica	Gentianaceae	Gentiane des Alpes dinariques				
Gentiana douglasiana	Gentianaceae		swamp gentian			
Gentiana fremontii	Gentianaceae		moss gentian			
Gentiana frigida	Gentianaceae			Tauern-Enzian		
Gentiana froelichii	Gentianaceae		Karawanken gentian	Karawanken-Enzian		
Gentiana glauca	Gentianaceae		pale gentian			
Gentiana kochiana	Gentianaceae	Gentiane de Koch				
Gentiana lawrencei	Gentianaceae				genziana del Tibet	
Gentiana ligustica	Gentianaceae	Gentiane de Ligurie			Genziana ligure	
Gentiana linearis	Gentianaceae		narrowleaf gentian			
Gentiana lutea	Gentianaceae	Gentiane jaune	Great Yellow Gentian	Gelber Enzian	Genziana maggiore	Gentiane des Pyrénées~Grande gentiane
Gentiana macrophylla	Gentianaceae		Bigleaf Gentian			
Gentiana newberryi	Gentianaceae		alpine gentian			
Gentiana nivalis	Gentianaceae	Gentiane des neiges	snow gentian	Schnee-Enzian		
Gentiana orbicularis	Gentianaceae	Gentiane à feuilles obriculaires		Rundblättriger Enzian		Gentiane de Farvat
Gentiana pannonica	Gentianaceae		Hungarian Gentian	Ostalpen-Enzian		Pannonischer Enzian~Ungarischer Enzian~Ungarn-Enzian
Gentiana parryi	Gentianaceae		Parry's gentian			
Gentiana pennelliana	Gentianaceae		wiregrass gentian			
Gentiana platypetala	Gentianaceae		broadpetal gentian			
Gentiana plurisetosa	Gentianaceae		bristly gentian			
Gentiana pneumonanthe	Gentianaceae	Gentiane des marais	marsh gentian	Lungen-Enzian		gentiane pneumonanthe~Lungenenzian
Gentiana prostrata	Gentianaceae		pygmy gentian	Liegender Enzian		
Gentiana puberulenta	Gentianaceae		downy gentian			
Gentiana punctata	Gentianaceae	Gentiane ponctuée	Spotted Gentian	Tüpfel-Enzian		Punktierter Enzian
Gentiana purpurea	Gentianaceae	Gentiane pourpre	Purple Gentian	Purpur-Enzian		
Gentiana pyrenaica	Gentianaceae	Gentiane des Pyrénées				
Gentiana rubricaulis	Gentianaceae		closed gentian			
Gentiana saponaria	Gentianaceae		harvestbells			
Gentiana scabra	Gentianaceae	Gentiane du Japon		Japanischer Herbstenzian		
Gentiana sceptrum	Gentianaceae		king's scepter gentian			
Gentiana septemfida	Gentianaceae		crested gentian			
Gentiana setigera	Gentianaceae		Mendocino gentian			
Gentiana sino-ornata	Gentianaceae			Chinesischer Schmuck-Enzian		Chinesischer Herbst-Enzian
Gentiana utriculosa	Gentianaceae			Schlauch-Enzian		
Gentiana verna	Gentianaceae	Gentiane de printemps	spring gentian	Frühlings-Enzian	Genzianella di primavera	Gentiane printanière~Himmelsstengel~Frühlingsenzian~Herrgottsliechtli~Himmelsbläueli~Schusternägelein
Gentiana villosa	Gentianaceae		striped gentian			
Gentianella acuta	Gentianaceae		little gentian			northern gentian~rose gentian
Gentianella alborosea	Gentianaceae	Hercampuri				
Gentianella amarella	Gentianaceae	Gentiane amère	annual gentian	Bitterer Fransenenzian		gentianelle amère~Blattwinkelblütiger Enzian~Herbstenzian~autumn dwarf gentian~autumn dwarf-gentian~autumn dwarfgentian
Gentianella anglica	Gentianaceae		Early gentian			
Gentianella aspera	Gentianaceae	Gentiane rude		Rauer Enzian		Rauer Fransenenzian~Rauer Kranzenzian~Rauher Fransenenzian
Gentianella aurea	Gentianaceae		golden dwarfgentian			
Gentianella auriculata	Gentianaceae		eared dwarf gentian			
Gentianella austriaca	Gentianaceae			Österreichischer Kranzenzian		
Gentianella bohemica	Gentianaceae			Böhmischer Enzian		Böhmischer Kranzenzian
Gentianella bulgarica	Gentianaceae	Gentiane de Bulgarie				
Gentianella campestris	Gentianaceae	Gentiane champêtre	field gentian	Feld-Kranzenzian		Gentiane des champs~Feldenzian~Feld-Enzian
Gentianella germanica	Gentianaceae	Gentiane d'Allemagne	chiltern gentian	Deutscher Fransenenzian		Gentianelle d'Allemagne~gentianelle dallemagne~Deutscher Enzian~Deutscher Kranzenzian
Gentianella lutescens	Gentianaceae			Karpaten-Kranzenzian		
Gentianella microcalyx	Gentianaceae		Chiricahua dwarf gentian			Chiricahua Dwarf-Gentian
Gentianella propinqua	Gentianaceae		fourpart dwarf gentian			
Gentianella quinquefolia	Gentianaceae		agueweed			
Gentianella tenella	Gentianaceae		Dane's dwarf gentian			
Gentianella tortuosa	Gentianaceae		Cathedral Bluff dwarf gentian			
Gentianella uliginosa	Gentianaceae		Dune gentian	Sumpf-Kranzenzian		
Gentianella wislizeni	Gentianaceae		Chiricahua Mountain dwarf gentian			
Gentianella wrightii	Gentianaceae		Wright's dwarf gentian			
Gentianopsis barbellata	Gentianaceae		perennial fringed gentian			Perennial Fringed-Gentian~perennial fringedgentian
Gentianopsis ciliata	Gentianaceae	Gentiane ciliée	fringed gentian	Gewöhnlicher Fransenenzian		Gefranster Enzian
Gentianopsis crinita	Gentianaceae		greater fringed gentian			
Gentianopsis detonsa	Gentianaceae		windmill fringed gentian			
Gentianopsis holopetala	Gentianaceae		Sierra fringed gentian			
Gentianopsis macounii	Gentianaceae		Macoun's fringed gentian			
Gentianopsis macrantha	Gentianaceae		gentian			grand fringed gentian~Grand Fringed-Gentian~grand gentian
Gentianopsis simplex	Gentianaceae		oneflower fringed gentian			
Gentianopsis thermalis	Gentianaceae		Rocky Mountain fringed gentian			
Gentianopsis virgata	Gentianaceae	Grande gentiane	lesser fringed gentian			
Geoffroea decorticans	Fabaceae		chañar			
Geonoma brevispatha	Arecaceae		Cana preta			
Geonoma congesta	Arecaceae		Suita palm			
Geonoma gamiova	Arecaceae		Arecana palm			
Geonoma interrupta	Arecaceae		Chontilla			
Geonoma pauciflora	Arecaceae		Ouricana palm			
Geonoma schottiana	Arecaceae		Guarika palm			
Geonoma undata	Arecaceae		Red crownshaft palm			
Geraea canescens	Asteraceae		hairy desertsunflower			
Geraea viscida	Asteraceae		sticky desertsunflower			
Geranium aequale	Geraniaceae			Glattfrüchtiger Storchschnabel		
Geranium arboreum	Geraniaceae		Hawai'i red cranesbill			
Geranium argenteum	Geraniaceae	Géranium à feuilles argentées			Geranio argentino	
Geranium aristatum	Geraniaceae		bearded cranesbill			
Geranium asphodeloides	Geraniaceae		asphodel cranesbill		Geranio con radice d'asfodelo	
Geranium atropurpureum	Geraniaceae		western purple cranesbill			
Geranium bicknellii	Geraniaceae		Bicknell's cranesbill			
Geranium bohemicum	Geraniaceae	Géranium de Bohème		Böhmischer Storchschnabel		
Geranium caespitosum	Geraniaceae		pineywoods geranium			
Geranium carolinianum	Geraniaceae		Carolina crane's-bill			
Geranium cinereum	Geraniaceae			Grauer Storchschnabel		
Geranium collinum	Geraniaceae		Hill Geranium			
Geranium columbinum	Geraniaceae	Geranium des colombes	Dove's-foot	Stein-Storchschnabel	Geranio colombino	Pied de pigeon~Tauben-Storchschnabel~long-stalked Cranesbill~longstalk cranesbill~longstalk Geranium
Geranium cuneatum	Geraniaceae		hinahina			
Geranium dalmaticum	Geraniaceae			Dalmatiner Zwerg-Geranium		
Geranium dissectum	Geraniaceae	Géranium à feuilles découpées	cut-leaved cranesbill	Schlitzblättriger Storchschnabel		géranium découpé~Géranium disséqué~cutleaf geranium
Geranium divaricatum	Geraniaceae		fanleaf geranium	Spreizender Storchschnabel		
Geranium endressii	Geraniaceae	Géranium d'Endress	Endres's cranesbill	Basken-Storchschnabel		French crane's-bill~Endres cranesbill
Geranium erianthum	Geraniaceae		woolly geranium			
Geranium hillebrandii	Geraniaceae		nohoanu			
Geranium himalayense	Geraniaceae			Himalaja-Storchschnabel		
Geranium lanuginosum	Geraniaceae	Géranium laineux				
Geranium lasiocaulon	Geraniaceae		woolly-stem cranesbill			
Geranium lucidum	Geraniaceae	Géranium luisant	shining geranium	Glänzender Storchschnabel		
Geranium macrorrhizum	Geraniaceae	Géranium à grosses racines	cranesbill	Balkan-Storchschnabel		Felsen-Storchschnabel~Großwurzeliger Storchschnabel~hardy geranium
Geranium maculatum	Geraniaceae		spotted geranium	Gefleckter Storchschnabel		Wilde Geranie~wild geranium~wood geranium
Geranium maderense	Geraniaceae	Géranium de Madère	Madiera cranesbill			
Geranium malviflorum	Geraniaceae	Géranium à fleurs de mauve				
Geranium molle	Geraniaceae	Géranium à feuilles molles	Dove's-foot Crane's-bill	Weicher Storchschnabel		géranium mollet
Geranium multiflorum	Geraniaceae		nohoanu			manyflower geranium
Geranium nepalense	Geraniaceae		Nepal Geranium			Nepalese crane's bill
Geranium nodosum	Geraniaceae	Géranium noueux		Knotiger Storchschnabel	Geranio nodoso	Knoten-Storchschnabel~Knotiger Bergwald-Storchschnabel
Geranium palmatum	Geraniaceae		Canary Island geranium			
Geranium palustre	Geraniaceae		marsh crane’s-bill	Sumpf-Storchschnabel	Geranio palustre	marsh cranesbill
Geranium papuanum	Geraniaceae				Geranium potentilloides alpestre	
Geranium phaeum	Geraniaceae	Géranium livide	black widow	Brauner Storchschnabel	Geranio stellato	géranium brun~dusky crane's-bill~mourning widow
Geranium potentilloides	Geraniaceae		cinquefoil geranium			
Geranium pratense	Geraniaceae	Géranium des prés	meadow crane's bill	Wiesen-Storchschnabel		Wiesenstorchschnabel~Meadow cranesbill~Meadow Geranium~Meadow Crane's-bill
Geranium psilostemon	Geraniaceae		Armenian crane's-bill	Schwarzäugiger Storchschnabel		
